school_ID,age_yrs,sex,weigth,height,BMI,cran_vol,head_circumference,birth_weight,birth_heigth,birth_head_circumference,M_birth_age,mothers_nationality,mothers_height,mothers_weight,dads_nationality,dads_height,N_sibs,birth_order,cohab_3,2_providers_OK,Two_providers,cohabitance,n_providers,two_paretnal_figures,parents_together,two_parents,parents_alive,dads_education,Feduc_3,Feduc_1,mothers_edu,Meduc_3,Max_edu_3,family_income,personal_estimate_of_resources,Resources_reported,enough_food,lacking_meat,lacking_fruit,lacking_milk_meat,lacking_vegs,estimate_of_educational_success,grades,smoking,alcohol,Mo-smokes,dad_smokes,engages_in_sport,Oma_toas_inimesi,Laste_arv_peres...150,underage_children,people_in_dwelling,height_rzs,BMI_rzs,cran_vol_rzs,head_circ_rzs
6,15.260274,2,47.2,160.6,18.299993,1075.95,53.9,3250,48,31,24.1,1,170,60,1,185,2,1,0,0,0,0,1,0,0,0,1,5,3,0,6,3,3,NA,3,1,4,0,0,0,0,3,4,0,1,0,2,0,1,NA,3,4,-0.685002518582082,-0.626722873466874,-1.07045258983222,-0.922790906491053
6,15.049315,2,48.7,159.4,19.16692,1189.296,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.838005677434697,-0.2626971162109,0.346888282590993,-0.331075129869553
6,14.945205,1,53,171.1,18.104055,1162.164,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.111113600280815,-0.588290984558482,-1.73107237517447,-1.78943112731978
6,15.410959,1,67.6,176.8,21.626298,1398.916,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422426799980073,0.59592641346878406,1.04636828960963,0.812948114954673
6,15.728767,1,73.2,178.7,22.9225,1426.427,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583173007164618,1.05634058817989,1.3399698732683,0.968802356564935
6,15.753425,1,51.7,175.7,16.747386,1264.953,55.5,NA,NA,NA,NA,1,NA,NA,1,NA,2,1,0,0,0,0,1,0,0,0,1,3,2,0,3,2,2,NA,3,1,2,0,0,0,0,3,1,NA,NA,0,0,1,1,NA,3,NA,0.158934483765474,-1.34405374104701,-0.670319667023919,-0.598674389590801
6,14.556164,1,56,168.3,19.770598,1378.157,56.6,3800,50,35,24.1,1,164,54,1,181,2,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,2,0,0,0,0,4,5,1,2,0,0,1,2,NA,3,5,-0.157402863004756,0.286556318159512,1.13539517760604,0.482380292607638
6,16.791781,1,60.1,172.7,20.150684,1272.782,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.360935062497056,0.0350051981089406,-0.527107850155716,0.445691386826555
6,15.273973,2,49.9,162.9,18.804352,1192.242,55,3600,50,NA,18.8,1,168,65,1,180,2,1,2,1,1,1,2,1,1,1,1,4,2,0,4,2,2,NA,4,1,4,0,0,0,0,2,1,0,0,NA,NA,1,2,NA,3,6,-0.33129207148141,-0.431562383833139,0.421359413295619,-0.223340569096556
6,14.852055,2,47.1,162.3,17.880673,1118.328,54.5,3000,NA,NA,26.9,1,160,79,1,198,2,2,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4,4,0,1,0,0,0,1,NA,2,5,-0.347979120707922,-0.739325476883351,-0.573736326922663,-0.600760577882539
6,15.221918,2,53.6,161.8,20.474238,1167.612,54.8,3350,50,35,23.4,1,160,53,1,167,0,1,0,0,0,0,1,0,0,0,3,4,2,0,5,3,3,NA,3,1,3,0,0,0,0,4,4,1,3,0,NA,1,1,NA,1,2,-0.495096694259464,0.225992036268784,0.0949128489019171,-0.363261290980564
6,15.30137,2,58.8,167.9,20.858157,1235.61,57.2,3500,51,NA,19.1,1,164,51,1,185,2,1,1,1,1,0,2,1,0,0,1,3,2,0,3,2,2,NA,NA,0,4,0,0,0,0,4,3,0,1,1,4,0,2,NA,3,5,0.438137915869019,0.366503801288835,0.983020558824075,1.17596853459677
6,14.961644,2,67.1,176.9,21.442077,1422.882,58.7,4200,55,NA,28.3,1,174,85,1,188,1,2,2,1,1,1,2,0,1,1,2,4,2,0,4,2,2,NA,4,1,3,0,0,0,0,4,4,0,0,0,4,0,2,NA,NA,3,1.88216506846697,0.635783100783366,3.33007944131129,2.06317672232113
6,15.328767,2,50.4,159.4,19.835991,1125.222,55,3600,52,NA,23.4,1,168,55,1,185,2,2,2,1,1,1,2,1,1,1,1,4,2,0,6,3,3,NA,4,1,3,0,0,0,0,4,5,0,1,0,1,0,2,NA,3,5,-0.876969712564535,-0.035275303150317,-0.423240467760816,-0.207104527159609
6,14.720548,2,60.4,169,21.147719,1240.536,56.2,4150,51,NA,25.2,1,163,60,1,169,2,3,2,1,1,1,2,1,1,1,1,4,2,0,3,2,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,NA,2,5,0.720055731735577,0.553977623445746,0.988094840437639,0.469531561835364
6,14.939726,1,53.5,175.5,17.369989,1335.562,55.7,4550,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50601198165702,-0.870529309064895,0.428076598929203,-0.282658192773221
